Date,StoreID,StoreRegion,Product,Category,UnitsSold,UnitPrice,Revenue,CustomerAge,Gender
2025-01-25,STR011,South,Washing Machine,Home Appliances,4,14159.64,56638.56,61,Other
2025-04-25,STR003,West,Jacket,Clothing,1,24477.74,24477.74,35,Male
2025-01-04,STR006,West,Laptop,Electronics,5,38578.85,192894.25,53,Other
2025-04-12,STR005,North,Sugar,Groceries,2,582.52,1165.04,41,Other
2025-02-11,STR012,North,Washing Machine,Home Appliances,5,6459.53,32297.65,40,Male
2024-12-08,STR014,South,Microwave,Home Appliances,9,5229.4,47064.6,33,Male
2024-08-07,STR014,South,Washing Machine,Home Appliances,6,1336.84,8021.04,35,Male
2024-08-23,STR008,South,Laptop,Electronics,8,43621.12,348968.96,47,Female
2024-09-10,STR013,East,Jeans,Clothing,4,11223.89,44895.56,35,Male
2025-04-01,STR018,East,T-Shirt,Clothing,7,32109.94,224769.58,19,Male
2024-10-25,STR002,North,Jeans,Clothing,5,29071.43,145357.15,56,Female
2025-05-10,STR020,North,Jacket,Clothing,7,39342.77,275399.39,42,Other
2025-03-07,STR001,South,Washing Machine,Home Appliances,7,2314.89,16204.23,41,Female
2025-02-19,STR011,North,Tablet,Electronics,10,46046.47,460464.7,64,Female
2024-08-14,STR010,South,Jacket,Clothing,7,20478.81,143351.67,30,Female
2024-08-08,STR020,East,Sugar,Groceries,3,37431.91,112295.73,43,Other
2025-02-15,STR019,East,Laptop,Electronics,7,14416.99,100918.93,47,Female
2025-01-10,STR006,North,Sugar,Groceries,8,10763.7,86109.6,36,Other
2024-06-24,STR010,South,Jeans,Clothing,4,40939.33,163757.32,30,Male
2024-08-21,STR020,North,Smartphone,Electronics,8,12317.64,98541.12,47,Female
2025-06-14,STR013,South,Microwave,Home Appliances,8,34848.08,278784.64,27,Other
2025-02-27,STR006,West,Smartphone,Electronics,4,38943.18,155772.72,21,Other
2025-01-21,STR017,East,Refrigerator,Home Appliances,8,22877.45,183019.6,46,Other
2025-05-02,STR016,West,Sugar,Groceries,3,22351.09,67053.27,34,Male
2024-12-02,STR009,West,Jacket,Clothing,4,24281.39,97125.56,22,Other
2025-06-17,STR018,North,Jeans,Clothing,6,13658.58,81951.48,26,Male
2024-09-13,STR003,West,Washing Machine,Home Appliances,4,34728.1,138912.4,44,Female
2025-06-09,STR013,North,Wheat,Groceries,7,3207.06,22449.42,54,Female
2024-11-06,STR013,West,Rice,Groceries,5,47142.81,235714.05,52,Other
2025-02-25,STR016,North,Washing Machine,Home Appliances,7,11049.14,77343.98,42,Female
2025-04-16,STR005,North,Sugar,Groceries,8,8335.73,66685.84,43,Other
2024-12-03,STR015,South,Smartphone,Electronics,3,32173.21,96519.63,21,Female
2024-09-19,STR011,West,Wheat,Groceries,6,10661.85,63971.1,35,Female
2024-07-08,STR002,East,Jeans,Clothing,9,23568.31,212114.79,32,Other
2024-09-26,STR008,South,Tablet,Electronics,1,2108.88,2108.88,19,Other
2024-09-20,STR019,South,Refrigerator,Home Appliances,2,6398.43,12796.86,47,Other
2024-09-26,STR004,South,T-Shirt,Clothing,10,8472.68,84726.8,37,Male
2024-08-19,STR013,South,Laptop,Electronics,7,28832.26,201825.82,22,Other
2025-06-14,STR020,North,Refrigerator,Home Appliances,5,34889.93,174449.65,54,Male
2024-11-02,STR003,East,Jacket,Clothing,6,21476.06,128856.36,18,Female
2025-03-15,STR015,South,Rice,Groceries,6,21732.82,130396.92,45,Male
2025-06-14,STR016,West,Jacket,Clothing,9,40429.14,363862.26,45,Other
2024-06-30,STR009,West,T-Shirt,Clothing,2,42600.49,85200.98,33,Female
2024-12-13,STR006,West,Wheat,Groceries,6,1532.13,9192.78,31,Female
2024-10-04,STR009,North,T-Shirt,Clothing,10,14054.96,140549.6,51,Male
2024-12-13,STR018,South,Smartphone,Electronics,8,36031.73,288253.84,62,Female
2024-10-29,STR010,South,Wheat,Groceries,2,39667.35,79334.7,43,Other
2024-07-24,STR016,East,Washing Machine,Home Appliances,6,33231.61,199389.66,45,Other
2025-01-13,STR010,East,T-Shirt,Clothing,5,35172.46,175862.3,32,Male
2025-05-30,STR006,South,Washing Machine,Home Appliances,9,6065.78,54592.02,31,Other
2024-08-01,STR020,East,Wheat,Groceries,9,36256.79,326311.11,24,Male
2025-05-21,STR001,South,Jeans,Clothing,5,18107.97,90539.85,35,Male
2024-10-09,STR016,North,Tablet,Electronics,3,14677.62,44032.86,18,Other
2024-09-01,STR006,North,T-Shirt,Clothing,6,23987.84,143927.04,34,Female
2025-03-31,STR019,North,Smartphone,Electronics,2,20095.3,40190.6,27,Male
2024-12-25,STR018,West,Jeans,Clothing,2,49696.51,99393.02,56,Other
2024-09-18,STR010,West,Microwave,Home Appliances,8,19080.86,152646.88,37,Other
2024-08-23,STR007,South,Tablet,Electronics,2,48009.43,96018.86,34,Other
2025-01-24,STR003,South,Smartphone,Electronics,9,12069.27,108623.43,18,Female
2024-10-15,STR002,South,Sugar,Groceries,5,29731.18,148655.9,36,Other
2025-01-22,STR008,East,Jacket,Clothing,2,42994.38,85988.76,58,Other
2025-06-07,STR005,East,Washing Machine,Home Appliances,4,5827.34,23309.36,27,Male
2025-05-20,STR019,East,Smartphone,Electronics,10,39652.17,396521.7,46,Male
2024-07-11,STR009,West,Sugar,Groceries,7,15274.15,106919.05,46,Male
2025-06-03,STR009,North,Laptop,Electronics,10,36753.24,367532.4,23,Male
2025-03-11,STR002,South,Tablet,Electronics,10,41088.92,410889.2,48,Other
2024-07-14,STR014,West,Wheat,Groceries,10,9156.31,91563.1,23,Female
2025-01-01,STR006,East,T-Shirt,Clothing,2,16732.09,33464.18,44,Other
2025-06-18,STR018,North,Wheat,Groceries,7,33162.92,232140.44,47,Male
2024-10-01,STR017,North,T-Shirt,Clothing,7,16231.36,113619.52,60,Other
2024-11-03,STR012,West,Wheat,Groceries,9,2804.78,25243.02,58,Female
2024-08-21,STR010,West,Smartphone,Electronics,3,13426.11,40278.33,62,Female
2025-06-09,STR008,South,Smartphone,Electronics,10,48660.03,486600.3,37,Other
2024-12-04,STR004,West,Tablet,Electronics,4,20458.74,81834.96,25,Other
2024-07-22,STR017,East,Washing Machine,Home Appliances,5,46639.39,233196.95,44,Female
2024-08-08,STR013,South,Rice,Groceries,3,22893.64,68680.92,56,Other
2024-07-14,STR011,East,Refrigerator,Home Appliances,7,13884.75,97193.25,18,Female
2024-10-01,STR005,West,Jacket,Clothing,8,29038.18,232305.44,52,Female
2024-07-03,STR013,West,T-Shirt,Clothing,9,27640.68,248766.12,38,Male
2024-11-24,STR002,East,Microwave,Home Appliances,7,19210.25,134471.75,65,Female
2025-06-14,STR016,North,Wheat,Groceries,3,49421.86,148265.58,26,Other
2024-12-12,STR004,West,Jeans,Clothing,8,43722.1,349776.8,18,Other
2024-11-17,STR003,West,Washing Machine,Home Appliances,3,43559.56,130678.68,34,Female
2024-11-12,STR018,West,Sugar,Groceries,6,4107.73,24646.38,38,Other
2024-07-17,STR008,East,Sugar,Groceries,2,1891.37,3782.74,32,Other
2024-11-22,STR015,South,Laptop,Electronics,2,48919.05,97838.1,62,Female
2025-04-26,STR010,East,Smartphone,Electronics,1,16286.3,16286.3,41,Female
2025-03-18,STR006,South,Refrigerator,Home Appliances,10,26605.2,266052.0,29,Male
2025-04-22,STR019,South,Sugar,Groceries,8,34188.42,273507.36,32,Female
2025-05-02,STR015,East,T-Shirt,Clothing,1,12840.8,12840.8,61,Other
2025-01-26,STR019,East,Refrigerator,Home Appliances,6,22142.32,132853.92,58,Female
2025-05-13,STR013,West,T-Shirt,Clothing,4,42280.67,169122.68,24,Male
2024-12-02,STR010,North,Sugar,Groceries,5,18012.06,90060.3,60,Female
2025-01-10,STR020,West,Jeans,Clothing,1,28339.86,28339.86,36,Male
2024-07-29,STR009,South,Jeans,Clothing,10,31867.23,318672.3,58,Male
2024-08-23,STR019,East,Laptop,Electronics,1,39451.66,39451.66,64,Male
2025-02-25,STR006,South,Laptop,Electronics,7,16403.28,114822.96,26,Other
2025-04-09,STR006,East,Jacket,Clothing,5,25139.56,125697.8,48,Female
2025-04-11,STR005,South,Jeans,Clothing,2,23469.74,46939.48,61,Other
2025-05-10,STR001,East,Sugar,Groceries,7,18352.17,128465.19,52,Male
2024-12-15,STR019,West,Wheat,Groceries,5,33674.14,168370.7,58,Female
2024-08-21,STR020,East,Tablet,Electronics,1,11767.71,11767.71,57,Male
2025-03-13,STR014,North,Tablet,Electronics,5,41210.38,206051.9,26,Male
2025-01-03,STR004,South,Laptop,Electronics,2,49796.78,99593.56,52,Male
2024-12-28,STR014,South,Wheat,Groceries,9,18613.47,167521.23,44,Other
2025-02-22,STR002,East,Laptop,Electronics,5,30821.05,154105.25,31,Female
2024-07-26,STR012,East,Rice,Groceries,2,42786.96,85573.92,21,Female
2025-04-12,STR003,South,Jeans,Clothing,8,48413.52,387308.16,59,Other
2025-05-06,STR005,South,Smartphone,Electronics,4,39361.05,157444.2,22,Other
2025-01-17,STR011,South,Microwave,Home Appliances,4,10875.97,43503.88,56,Male
2024-10-24,STR009,South,Jeans,Clothing,9,49377.61,444398.49,25,Other
2025-02-02,STR019,East,Smartphone,Electronics,4,841.53,3366.12,19,Male
2025-05-20,STR017,North,Jeans,Clothing,7,6425.25,44976.75,65,Male
2024-08-29,STR019,North,Wheat,Groceries,9,38923.05,350307.45,46,Other
2024-12-11,STR010,West,Microwave,Home Appliances,9,2263.92,20375.28,59,Male
2024-12-19,STR004,West,Laptop,Electronics,7,42380.2,296661.4,63,Female
2024-07-19,STR003,South,Smartphone,Electronics,3,16173.38,48520.14,35,Other
2024-11-09,STR010,West,T-Shirt,Clothing,9,49731.93,447587.37,50,Other
2024-08-23,STR018,South,Rice,Groceries,2,39675.5,79351.0,45,Female
2025-02-03,STR013,West,Washing Machine,Home Appliances,8,17012.69,136101.52,64,Male
2025-02-14,STR012,South,T-Shirt,Clothing,5,15694.93,78474.65,61,Female
2024-12-23,STR014,North,Smartphone,Electronics,2,41605.42,83210.84,65,Other
2024-11-24,STR018,East,Jeans,Clothing,10,27862.9,278629.0,60,Male
2025-03-14,STR002,East,Wheat,Groceries,7,43693.01,305851.07,56,Female
2025-03-07,STR005,West,Jeans,Clothing,4,28938.13,115752.52,32,Male
2025-04-15,STR019,South,Jacket,Clothing,5,18441.3,92206.5,45,Other
2025-01-26,STR001,South,Tablet,Electronics,5,46461.31,232306.55,35,Other
2024-12-31,STR005,West,T-Shirt,Clothing,3,17616.07,52848.21,22,Male
2024-10-13,STR013,West,Smartphone,Electronics,4,37330.98,149323.92,47,Female
2024-08-28,STR019,North,Washing Machine,Home Appliances,6,15650.7,93904.2,21,Male
2024-07-04,STR009,West,Microwave,Home Appliances,2,2583.15,5166.3,60,Female
2025-06-09,STR007,North,Sugar,Groceries,5,22158.0,110790.0,40,Female
2024-11-10,STR016,East,Laptop,Electronics,10,33943.07,339430.7,20,Male
2025-04-21,STR010,South,Sugar,Groceries,4,2833.62,11334.48,26,Female
2024-07-20,STR014,South,T-Shirt,Clothing,8,6087.22,48697.76,26,Female
2025-01-08,STR003,West,Microwave,Home Appliances,6,27980.31,167881.86,65,Male
2024-06-20,STR011,West,Rice,Groceries,2,23041.74,46083.48,54,Female
2024-10-31,STR011,South,Wheat,Groceries,1,5847.15,5847.15,57,Female
2024-10-28,STR008,West,Jeans,Clothing,2,21891.92,43783.84,55,Female
2024-12-20,STR008,East,Laptop,Electronics,6,43539.17,261235.02,28,Male
2024-10-08,STR012,South,Tablet,Electronics,6,25546.61,153279.66,33,Male
2024-11-19,STR005,North,Washing Machine,Home Appliances,10,9943.86,99438.6,29,Other
2024-10-11,STR015,East,Wheat,Groceries,10,37746.85,377468.5,58,Female
2025-01-20,STR010,East,Washing Machine,Home Appliances,8,3507.48,28059.84,55,Male
2024-08-15,STR015,North,Jacket,Clothing,8,3802.11,30416.88,21,Female
2024-07-21,STR020,West,Jeans,Clothing,2,32268.86,64537.72,47,Other
2025-05-23,STR007,East,Laptop,Electronics,10,45461.59,454615.9,56,Female
2024-11-19,STR003,South,Refrigerator,Home Appliances,6,22581.1,135486.6,20,Male
2025-05-09,STR006,East,Wheat,Groceries,10,26251.02,262510.2,41,Female
2025-03-24,STR002,East,Wheat,Groceries,10,38745.79,387457.9,22,Female
2025-06-08,STR009,South,Tablet,Electronics,5,33951.13,169755.65,39,Male
2025-01-07,STR005,North,Washing Machine,Home Appliances,7,15580.56,109063.92,37,Other
2024-11-19,STR017,North,Sugar,Groceries,3,39603.93,118811.79,59,Other
2025-03-05,STR010,South,Sugar,Groceries,6,18155.22,108931.32,31,Female
2025-01-01,STR005,North,Rice,Groceries,3,11404.5,34213.5,36,Male
2024-08-07,STR005,West,Tablet,Electronics,10,16904.54,169045.4,27,Male
2025-05-19,STR015,North,Microwave,Home Appliances,3,38577.78,115733.34,44,Female
2025-05-30,STR008,South,Washing Machine,Home Appliances,8,30568.71,244549.68,37,Female
2024-07-20,STR015,West,Washing Machine,Home Appliances,10,33947.51,339475.1,36,Female
2024-12-31,STR005,East,Rice,Groceries,10,40862.87,408628.7,21,Other
2024-10-26,STR017,North,Wheat,Groceries,2,27771.58,55543.16,36,Male
2024-08-01,STR005,West,Washing Machine,Home Appliances,9,22521.03,202689.27,23,Male
2024-10-26,STR002,West,Wheat,Groceries,7,46530.55,325713.85,50,Female
2024-12-07,STR008,North,Washing Machine,Home Appliances,6,49726.82,298360.92,38,Male
2025-02-05,STR016,South,Jeans,Clothing,5,6966.22,34831.1,63,Female
2025-03-22,STR001,East,Sugar,Groceries,2,362.03,724.06,31,Male
2024-09-11,STR010,North,Rice,Groceries,4,38831.01,155324.04,21,Male
2024-11-24,STR003,North,Sugar,Groceries,8,39715.57,317724.56,49,Other
2024-09-25,STR005,East,Tablet,Electronics,4,25817.25,103269.0,45,Male
2025-06-08,STR003,East,Jeans,Clothing,3,28576.12,85728.36,22,Other
2024-11-06,STR013,East,Laptop,Electronics,1,43679.24,43679.24,34,Other
2024-09-27,STR008,North,Laptop,Electronics,6,39447.15,236682.9,55,Other
2025-01-24,STR011,South,Jeans,Clothing,9,2312.35,20811.15,61,Female
2025-06-11,STR003,West,Sugar,Groceries,3,9195.67,27587.01,20,Female
2024-10-21,STR011,East,Refrigerator,Home Appliances,1,39576.35,39576.35,50,Female
2025-01-18,STR010,East,Wheat,Groceries,4,1927.38,7709.52,21,Other
2025-01-05,STR014,West,T-Shirt,Clothing,6,6311.3,37867.8,65,Female
2025-01-18,STR016,East,Wheat,Groceries,8,48688.81,389510.48,51,Female
2024-09-04,STR020,South,Tablet,Electronics,7,21282.53,148977.71,52,Female
2024-07-28,STR010,West,Jeans,Clothing,5,4095.44,20477.2,56,Other
2025-03-07,STR015,North,Rice,Groceries,6,34519.26,207115.56,64,Female
2025-05-26,STR003,West,Wheat,Groceries,1,32009.52,32009.52,41,Other
2025-01-20,STR015,North,Refrigerator,Home Appliances,10,7224.7,72247.0,26,Male
2024-11-26,STR019,North,Microwave,Home Appliances,7,18379.79,128658.53,56,Male
2025-05-11,STR019,South,Wheat,Groceries,2,18663.47,37326.94,51,Female
2025-02-02,STR004,North,Wheat,Groceries,4,32513.08,130052.32,65,Male
2024-07-08,STR004,East,Sugar,Groceries,9,19410.67,174696.03,34,Other
2025-04-03,STR016,South,Rice,Groceries,5,49818.62,249093.1,25,Male
2025-04-19,STR003,East,Laptop,Electronics,8,8715.55,69724.4,60,Female
2025-02-23,STR006,South,Tablet,Electronics,5,27154.35,135771.75,41,Other
2024-08-22,STR008,West,Refrigerator,Home Appliances,3,49258.11,147774.33,19,Female
2025-05-30,STR005,North,T-Shirt,Clothing,9,40202.72,361824.48,22,Female
2025-05-23,STR014,West,Sugar,Groceries,9,35971.6,323744.4,54,Male
2025-01-03,STR015,East,Washing Machine,Home Appliances,8,32152.7,257221.6,26,Other
2025-03-06,STR004,South,Refrigerator,Home Appliances,1,21687.65,21687.65,37,Male
2025-04-09,STR012,East,Washing Machine,Home Appliances,4,46743.42,186973.68,23,Female
2025-01-22,STR005,East,Microwave,Home Appliances,5,47821.95,239109.75,57,Other
2025-03-31,STR019,South,Tablet,Electronics,10,32085.27,320852.7,28,Other
2025-05-25,STR003,North,Jacket,Clothing,1,2155.6,2155.6,59,Other
2025-03-19,STR014,North,Jacket,Clothing,10,10619.34,106193.4,49,Other
2024-07-06,STR008,West,Jacket,Clothing,8,47836.84,382694.72,37,Female
2024-11-11,STR014,West,Tablet,Electronics,8,3089.66,24717.28,47,Male
2025-02-15,STR012,West,Jacket,Clothing,6,7269.07,43614.42,26,Female
2025-04-27,STR009,West,Laptop,Electronics,2,12162.72,24325.44,33,Male
2024-09-29,STR020,West,Smartphone,Electronics,7,14581.58,102071.06,33,Male
2024-08-27,STR006,West,Jacket,Clothing,4,36084.31,144337.24,50,Female
2025-01-19,STR013,West,Wheat,Groceries,2,24918.78,49837.56,33,Male
2025-04-11,STR020,West,Jeans,Clothing,8,2621.97,20975.76,36,Other
2025-05-05,STR012,West,Smartphone,Electronics,5,21603.3,108016.5,41,Male
2024-10-21,STR012,East,Rice,Groceries,4,28557.05,114228.2,22,Female
2024-08-25,STR020,North,Sugar,Groceries,10,14058.06,140580.6,26,Male
2025-05-13,STR018,East,Wheat,Groceries,6,39765.37,238592.22,27,Male
2025-06-07,STR005,East,Sugar,Groceries,1,2108.72,2108.72,48,Other
2025-03-25,STR005,East,Rice,Groceries,9,30352.4,273171.6,57,Female
2025-05-25,STR019,East,Washing Machine,Home Appliances,5,49531.73,247658.65,50,Other
2025-06-18,STR001,East,Sugar,Groceries,8,28189.92,225519.36,39,Other
2024-10-05,STR020,West,Laptop,Electronics,1,29226.74,29226.74,34,Other
2024-10-17,STR006,West,Microwave,Home Appliances,8,2662.62,21300.96,27,Other
2024-08-15,STR007,North,Refrigerator,Home Appliances,2,28671.26,57342.52,46,Female
2024-08-21,STR014,West,Rice,Groceries,4,20706.71,82826.84,65,Other
2025-02-13,STR018,East,Tablet,Electronics,4,6990.32,27961.28,60,Female
2025-03-09,STR018,East,Wheat,Groceries,8,47838.61,382708.88,52,Female
2025-02-15,STR009,East,Jacket,Clothing,4,24260.59,97042.36,32,Female
2025-06-08,STR011,West,Jacket,Clothing,8,10443.16,83545.28,40,Other
2024-07-01,STR013,West,T-Shirt,Clothing,9,6181.52,55633.68,40,Male
2025-05-31,STR012,West,Jeans,Clothing,2,14452.75,28905.5,59,Female
2024-12-26,STR009,East,Rice,Groceries,9,10183.19,91648.71,26,Male
2025-01-14,STR008,South,Refrigerator,Home Appliances,9,2633.19,23698.71,21,Male
2025-03-04,STR005,North,Wheat,Groceries,2,35896.17,71792.34,53,Male
2024-07-15,STR016,South,Sugar,Groceries,8,46758.1,374064.8,36,Female
2024-08-28,STR019,South,Jacket,Clothing,2,3052.21,6104.42,52,Other
2024-09-11,STR002,West,Smartphone,Electronics,3,20952.46,62857.38,49,Male
2024-08-12,STR020,North,Jeans,Clothing,10,562.43,5624.3,39,Female
2024-12-29,STR005,West,Sugar,Groceries,8,27210.69,217685.52,35,Male
2024-08-23,STR009,South,Laptop,Electronics,8,8208.46,65667.68,18,Other
2025-03-08,STR006,West,T-Shirt,Clothing,4,28432.28,113729.12,45,Other
2025-03-29,STR006,South,Jeans,Clothing,2,20101.58,40203.16,48,Female
2024-11-12,STR015,East,Refrigerator,Home Appliances,4,13113.19,52452.76,39,Female
2025-02-12,STR002,North,Laptop,Electronics,4,32718.8,130875.2,47,Female
2025-02-05,STR004,East,Washing Machine,Home Appliances,5,34335.07,171675.35,41,Other
2025-03-15,STR005,West,Refrigerator,Home Appliances,8,47872.29,382978.32,65,Other
2025-01-10,STR018,South,T-Shirt,Clothing,8,35126.84,281014.72,33,Other
2025-06-08,STR003,North,Tablet,Electronics,6,22392.72,134356.32,21,Other
2024-11-20,STR011,West,Microwave,Home Appliances,3,26879.34,80638.02,25,Other
2024-12-29,STR017,West,Microwave,Home Appliances,2,29199.07,58398.14,21,Female
2025-01-23,STR002,West,Microwave,Home Appliances,10,20829.69,208296.9,61,Female
2024-11-09,STR007,North,Laptop,Electronics,1,12797.42,12797.42,20,Female
2025-04-29,STR003,West,Jacket,Clothing,1,3281.62,3281.62,20,Female
2025-04-17,STR012,West,Rice,Groceries,7,38471.71,269301.97,46,Female
2025-04-21,STR005,East,Rice,Groceries,9,34168.24,307514.16,25,Male
2025-03-19,STR001,North,Sugar,Groceries,4,6454.62,25818.48,37,Female
2024-12-16,STR008,West,Sugar,Groceries,4,19025.9,76103.6,40,Male
2024-10-20,STR002,West,Jeans,Clothing,2,46876.78,93753.56,57,Male
2025-05-26,STR002,West,Refrigerator,Home Appliances,10,3457.82,34578.2,56,Other
2025-01-13,STR015,South,Smartphone,Electronics,7,37053.0,259371.0,52,Male
2024-07-07,STR008,East,Smartphone,Electronics,5,25244.4,126222.0,54,Other
2024-12-03,STR017,South,Jeans,Clothing,3,15158.05,45474.15,44,Female
2024-08-23,STR006,West,Jeans,Clothing,10,27880.23,278802.3,53,Female
2025-01-07,STR017,East,Laptop,Electronics,7,47085.16,329596.12,62,Female
2025-05-08,STR018,West,Rice,Groceries,3,15064.44,45193.32,33,Male
2024-10-01,STR002,West,Jacket,Clothing,8,7303.15,58425.2,44,Other
2024-11-20,STR011,North,Washing Machine,Home Appliances,4,12218.64,48874.56,46,Female
2024-09-24,STR002,East,Tablet,Electronics,4,36256.78,145027.12,42,Other
2024-08-10,STR018,South,Smartphone,Electronics,10,9489.35,94893.5,48,Male
2025-04-13,STR007,South,T-Shirt,Clothing,1,47855.29,47855.29,65,Male
2024-09-26,STR013,South,Rice,Groceries,4,34811.75,139247.0,53,Female
2025-04-13,STR010,East,T-Shirt,Clothing,6,23365.9,140195.4,41,Other
2024-07-30,STR011,South,Wheat,Groceries,8,5020.55,40164.4,41,Female
2025-04-08,STR005,North,Rice,Groceries,4,28169.98,112679.92,34,Other
2025-02-24,STR008,West,Wheat,Groceries,6,7705.33,46231.98,54,Male
2025-06-12,STR009,West,Sugar,Groceries,6,32764.94,196589.64,64,Other
2025-05-12,STR006,South,Wheat,Groceries,6,8494.86,50969.16,64,Other
2025-03-17,STR002,North,Rice,Groceries,9,45853.28,412679.52,22,Other
2024-07-15,STR003,South,Smartphone,Electronics,4,20678.37,82713.48,18,Male
2024-11-24,STR016,West,Wheat,Groceries,10,3116.46,31164.6,19,Male
2025-03-28,STR018,East,Rice,Groceries,5,934.63,4673.15,19,Other
2025-05-15,STR017,South,Rice,Groceries,2,5440.12,10880.24,33,Male
2025-03-15,STR003,East,T-Shirt,Clothing,7,13439.5,94076.5,43,Female
2024-07-23,STR002,North,Microwave,Home Appliances,2,11370.28,22740.56,43,Female
2024-12-16,STR006,North,Sugar,Groceries,1,23852.65,23852.65,49,Female
2024-08-27,STR017,North,Jacket,Clothing,2,48868.73,97737.46,32,Male
2025-04-20,STR009,North,Wheat,Groceries,2,2423.44,4846.88,29,Female
2025-04-15,STR003,East,Smartphone,Electronics,7,29393.1,205751.7,28,Other
2025-04-14,STR018,East,Microwave,Home Appliances,7,41749.06,292243.42,42,Other
2025-05-14,STR012,North,Microwave,Home Appliances,9,36235.76,326121.84,24,Female
2024-12-25,STR020,West,Refrigerator,Home Appliances,10,17095.58,170955.8,38,Male
2025-04-20,STR018,West,T-Shirt,Clothing,6,24581.11,147486.66,45,Male
2025-05-24,STR008,North,Rice,Groceries,5,38631.15,193155.75,23,Female
2024-11-04,STR013,East,Washing Machine,Home Appliances,3,35612.69,106838.07,41,Male
2025-06-16,STR012,East,Smartphone,Electronics,8,47153.72,377229.76,24,Male
2025-03-16,STR018,West,Smartphone,Electronics,9,21605.88,194452.92,24,Male
2025-04-23,STR020,East,Laptop,Electronics,10,27755.57,277555.7,42,Male
2025-03-19,STR018,South,T-Shirt,Clothing,2,19451.2,38902.4,54,Other
2025-06-18,STR009,East,Microwave,Home Appliances,3,19098.53,57295.59,35,Female
2024-07-14,STR014,East,Refrigerator,Home Appliances,5,8443.65,42218.25,48,Male
2025-06-02,STR020,South,T-Shirt,Clothing,8,47216.69,377733.52,47,Male
